Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Afghanistan,25,177,70,74,66,120,53,40,34656,1143,80,64,32,
Albania,114,40,14,15,12,35,12,6,2926,35,0,78,97,96
Algeria,78,49,25,27,24,41,22,16,40606,949,24,76,75,97
Andorra,179,9,3,3,3,7,2,1,77,,0,,100,
Angola,17,221,83,88,76,131,55,29,28813,1181,96,62,66,84
Anguilla,,,,,,,,,15,,,,,
Antigua and Barbuda,133,26,9,9,8,25,5,4,101,2,0,76,99,87
Argentina,126,29,11,12,10,26,10,6,43847,754,8,77,98,99
Armenia,118,50,13,15,12,42,12,7,2925,40,1,75,100,96
Australia,164,9,4,4,3,8,3,2,24126,311,1,83,,97
Austria,164,10,4,4,3,8,3,2,8712,83,0,82,,
Azerbaijan,68,95,31,34,28,75,27,18,9725,176,5,72,100,94
Bahamas,126,24,11,11,10,20,9,6,391,6,0,76,,98
Bahrain,142,23,8,8,7,20,7,3,1425,21,0,77,95,96
Bangladesh,62,144,34,37,32,100,28,20,162952,3110,106,72,73,91
Barbados,123,18,12,13,11,16,11,8,285,3,0,76,,91
Belarus,164,15,4,4,3,12,3,2,9480,114,0,73,100,95
Belgium,164,10,4,4,4,8,3,2,11358,129,1,81,,99
Belize,106,39,15,16,13,32,13,10,367,8,0,70,,96
Benin,7,178,98,102,93,107,63,31,10872,397,38,61,33,96
Bhutan,66,128,32,36,29,90,27,18,798,15,0,70,57,86
Bolivia (Plurinational State of),58,124,37,40,33,85,30,19,10888,253,9,69,92,88
Bosnia and Herzegovina,153,18,6,7,5,16,5,5,3517,33,0,77,97,
Botswana,56,54,41,44,37,42,33,26,2250,53,2,67,81,91
Brazil,106,64,15,16,14,53,14,8,207653,2966,45,76,92,93
British Virgin Islands,,,,,,,,,31,,,,,
Brunei Darussalam,131,13,10,11,9,10,9,4,423,7,0,77,96,
Bulgaria,142,18,8,8,7,15,7,4,7131,67,1,75,98,93
Burkina Faso,16,199,85,89,80,99,53,26,18646,716,60,60,35,69
Burundi,23,170,72,77,66,103,48,24,10524,437,31,57,62,94
Cabo Verde,85,63,21,23,19,48,18,10,540,11,0,73,87,97
Cambodia,68,116,31,34,27,85,26,16,15762,368,11,69,74,95
Cameroon,19,143,80,85,74,89,53,24,23439,842,66,58,71,92
Canada,157,8,5,5,5,7,4,3,36290,387,2,82,,99
Central African Republic,3,174,124,130,117,114,89,42,4595,166,20,52,37,71
Chad,2,211,127,133,121,111,75,35,14453,615,77,53,22,79
Chile,142,19,8,9,8,16,7,5,17910,239,2,80,96,94
China,131,54,10,11,9,42,9,5,1403500,17035,168,76,95,
Colombia,106,35,15,17,14,29,13,9,48653,746,11,74,94,91
Comoros,22,126,73,78,68,88,55,33,796,26,2,64,49,79
Congo,40,91,54,58,49,59,39,21,5126,176,9,65,79,91
Cook Islands,142,24,8,9,7,21,7,4,17,,0,,,95
Costa Rica,133,17,9,10,8,14,8,6,4857,70,1,80,97,96
Côte d'Ivoire,10,151,92,101,82,104,66,37,23696,858,78,54,44,79
Croatia,157,13,5,5,4,11,4,3,4213,39,0,78,99,89
Cuba,153,13,6,6,5,11,4,2,11476,125,1,80,100,92
Cyprus,179,11,3,3,2,10,2,1,1170,13,0,81,99,97
Czechia,179,12,3,4,3,10,3,2,10611,109,0,79,,
Democratic People's Republic of Korea,88,43,20,22,18,33,15,11,25369,350,7,72,,94
Democratic Republic of the Congo,8,184,94,101,87,118,72,29,78736,3269,304,60,77,35
Denmark,164,9,4,5,4,7,4,3,5712,59,0,81,,98
Djibouti,31,118,64,70,58,91,54,33,942,22,1,62,,53
Dominica,62,17,34,36,31,14,31,24,74,,0,,,93
Dominican Republic,68,60,31,34,28,46,26,21,10649,216,7,74,92,87
Ecuador,85,57,21,23,18,44,18,11,16385,331,7,76,94,92
Egypt,81,86,23,24,22,63,19,13,95689,2541,57,71,75,98
El Salvador,106,60,15,17,13,46,13,8,6345,118,2,74,88,91
Equatorial Guinea,11,191,91,97,84,129,66,32,1221,41,4,58,88,56
Eritrea,51,151,45,49,39,93,33,18,4955,160,7,65,65,39
Estonia,179,18,3,3,3,14,2,1,1312,14,0,78,100,95
Ethiopia,35,203,58,64,53,121,41,28,102403,3230,187,65,39,86
Fiji,82,28,22,24,20,24,19,9,899,18,0,70,,98
